ts,open,high,low,close,volume
1763425920000,91873.08,92202.36,91873.08,92202.36,0.00018
1763425980000,91798.54,91798.54,91798.54,91798.54,2e-05
1763426040000,92170.75,92170.75,92170.75,92170.75,8e-05
1763426100000,91798.57,92079.05,91798.03,92000.0,0.01495
1763426160000,92077.72,92077.72,92077.72,92077.72,3e-05
1763426220000,92077.72,92077.72,92077.72,92077.72,0.0
1763426280000,91799.67,92073.06,91799.67,92073.06,5e-05
1763426340000,91799.77,92071.82,91799.75,92070.89,0.0326
1763426400000,92035.99,92035.99,91691.52,91691.52,0.00143
1763426460000,91939.04,91939.04,91533.42,91533.42,0.02352
1763426520000,91500.01,91670.2,91455.97,91669.78,0.00382
1763426580000,91375.96,91640.73,91369.57,91640.14,0.00082
1763426640000,91639.52,91639.52,91639.24,91639.24,2e-05
1763426700000,91638.15,91638.15,91370.36,91370.36,5e-05
1763426760000,91369.57,91645.14,91267.71,91645.14,0.16219
1763426820000,91645.14,91645.14,91645.14,91645.14,0.0
1763426880000,91866.45,91999.37,91866.45,91999.1,0.02502
1763426940000,91998.59,91998.59,91659.24,91659.43,0.00013
1763427000000,91998.25,91999.39,91659.92,91999.39,0.00023
1763427060000,91999.38,91999.38,91999.38,91999.38,3e-05
1763427120000,91999.38,92082.61,91736.44,92082.61,0.03175
1763427180000,92125.77,92125.77,92125.77,92125.77,0.00011
